country,region_type,instance,instance_type,reference_ids,workday_id,workbook_value_descriptor,reference_id
Afghanistan,Province,Badakhshān,Country_Region_ID,AFG-BDS,4d8f024c68ed4c7492cc5a29f6363709,North Holland,NLD-NH
Afghanistan,Province,Bādghīs,Country_Region_ID,AFG-BDG,2b709c7c3a3c4966800dc6674cd247b8,New York,USA-NY
Afghanistan,Province,Baghlān,Country_Region_ID,AFG-BGL,29444d9295de4676bda1155854eb7224,Georgia,USA-GA
Afghanistan,Province,Balkh,Country_Region_ID,AFG-BAL,b219738bf5034574b8e4a2e866aca99b,,
Afghanistan,Province,Bāmyān,Country_Region_ID,AFG-BAM,4c960cc13a354ff8a3f6b87e1a908394,,
Afghanistan,Province,Dāykundī,Country_Region_ID,AFG-DAY,7b86abf90ce546cdaf3bef0df11bb94b,,
Afghanistan,Province,Farāh,Country_Region_ID,AFG-FRA,5384e9a8f23c42b0a771ac95dbec294a,,
Afghanistan,Province,Fāryāb,Country_Region_ID,AFG-FYB,632d794b601244a4a7cda26a86ec42bf,,
Afghanistan,Province,Ghaznī,Country_Region_ID,AFG-GHA,f4f8bd1c37c64db28afe206a1d3445ff,,
Afghanistan,Province,Ghōr,Country_Region_ID,AFG-GHO,7e1065a7620244eea8f6d1bd6793cd89,,
Afghanistan,Province,Helmand,Country_Region_ID,AFG-HEL,6c68b6470add4bda83ab93ca2565bb98,,
Afghanistan,Province,Herāt,Country_Region_ID,AFG-HER,1d7055e8db2840d99ba26eea6bf8ed98,,
Afghanistan,Province,Jowzjān,Country_Region_ID,AFG-JOW,7f8aa5ed0a544c70852eb2b5fece0d78,,
Afghanistan,Province,Kābul,Country_Region_ID,AFG-KAB,2a70fce4ec0d453d8e6f9346e4cf5e7e,,
Afghanistan,Province,Kandahār,Country_Region_ID,AFG-KAN,d375834ad0fe42dca984c4e40514711a,,
Afghanistan,Province,Kāpīsā,Country_Region_ID,AFG-KAP,4446c07e75914f08aca2f3794e4c29c3,,
Afghanistan,Province,Khōst,Country_Region_ID,AFG-KHO,9829b08319a844c4a31688958e7214c1,,
Afghanistan,Province,Kunar,Country_Region_ID,AFG-KNR,672f08667714471ca70da42df112da02,,
Afghanistan,Province,Kunduz,Country_Region_ID,AFG-KDZ,f3e43a65536745b49efbc1d6c256fd58,,
Afghanistan,Province,Laghmān,Country_Region_ID,AFG-LAG,a4c4ab679ed34bc5afcc98d0175be7d4,,
Afghanistan,Province,Lōgar,Country_Region_ID,AFG-LOG,3fd615a6356f4473b42b9c0395cac371,,
Afghanistan,Province,Nangarhār,Country_Region_ID,AFG-NAN,4772a953055e44ef8e3f43dedbd19cda,,
Afghanistan,Province,Nīmrōz,Country_Region_ID,AFG-NIM,44d06d693c344fbd81aa43bda21a9ddb,,
Afghanistan,Province,Nūristān,Country_Region_ID,AFG-NUR,219985280b014bf28aa92c7e10ebd50a,,
Afghanistan,Province,Uruzgān,Country_Region_ID,AFG-URU,c18c146a7ae449d384186a25d3050aa5,,
Afghanistan,Province,Paktiyā,Country_Region_ID,AFG-PIA,6bf609ab3ff144da87d110de8f8ada76,,
Afghanistan,Province,Paktīkā,Country_Region_ID,AFG-PKA,cb2ad5deaf4441c295988f281ac6362d,,
Afghanistan,Province,Panjshayr,Country_Region_ID,AFG-PAN,0d5a986484e049e8b0fda283d33528ea,,
Afghanistan,Province,Parwān,Country_Region_ID,AFG-PAR,5f0d036ebd3b40f688f49ceaa50a224d,,
Afghanistan,Province,Samangān,Country_Region_ID,AFG-SAM,4103b71b08c34142baf7270757b758a2,,
Afghanistan,Province,Sar-e Pul,Country_Region_ID,AFG-SAR,9dc7a87b001f405687d447dedf9ef27a,,
Afghanistan,Province,Takhār,Country_Region_ID,AFG-TAK,fb222b08bf2b4bb29e636fcb2796db79,,
Afghanistan,Province,Wardak,Country_Region_ID,AFG-WAR,a28a4cb024c3429b9806634259d6140a,,
Afghanistan,Province,Zābul,Country_Region_ID,AFG-ZAB,e17aa335250a46e3b48a8e25ac66d226,,
Albania,County,Berat,Country_Region_ID,ALB-01,e917222c3d7540b3804d593fc0766e15,,
Albania,County,Dibër,Country_Region_ID,ALB-09,c0d3935a060a4a7f8557c6fd07f824cb,,
Albania,County,Durrës,Country_Region_ID,ALB-02,b6f62954fc3d4f6b992a0ae9fa26bef1,,
Albania,County,Elbasan,Country_Region_ID,ALB-03,f768067b0ef54462af7eb279a782dfbd,,
Albania,County,Fier,Country_Region_ID,ALB-04,0c0de0e4fce84115a92295feaf0044f5,,
Albania,County,Gjirokastër,Country_Region_ID,ALB-05,2fd07148e7174a11b78b156f78c316a0,,
Albania,County,Korçë,Country_Region_ID,ALB-06,d43a1c2a8b624dbb93bb8f928b6246cc,,
Albania,County,Kukës,Country_Region_ID,ALB-07,,,
Albania,County,Lezhë,Country_Region_ID,ALB-08,591154832d0545b7b6489775a1a108ad,,
Albania,County,Shkodër,Country_Region_ID,ALB-10,4081f48e555949f496cb238fdd49e62e,,
Albania,County,Tiranë,Country_Region_ID,ALB-11,abdac97329a54f50a570a03cf327ca77,,
Albania,County,Vlorë,Country_Region_ID,ALB-12,a995c6b134634be7bc8194567559014b,,
Algeria,Province,Adrar,Country_Region_ID,DZA-01,c6c877c850fb4b32a031fd032c53326d,,
Algeria,Province,Chlef,Country_Region_ID,DZA-02,7a2af54e24194c76aeee8c08ef9cb13c,,
Algeria,Province,Laghouat,Country_Region_ID,DZA-03,455f1962bb2d48d6a5b7470a118ecbbf,,
Algeria,Province,Oum el Bouaghi,Country_Region_ID,DZA-04,7677ae3114824e42814d57f2ca8e1026,,
Algeria,Province,Batna,Country_Region_ID,DZA-05,f10a3f9f3c104853b165a9278d49153f,,
Algeria,Province,Bejaja,Country_Region_ID,DZA-06,4cda8837132c441cbf681c24e07421b5,,
Algeria,Province,Biskra,Country_Region_ID,DZA-07,a4eb25b468ff40c681e113af5538555e,,
Algeria,Province,Bechar,Country_Region_ID,DZA-08,6a374120b9734f128485fdea4a303d3b,,
Algeria,Province,Blida,Country_Region_ID,DZA-09,113b58c9c6dc4f49bca6f12980743b30,,
Algeria,Province,Bouira,Country_Region_ID,DZA-10,4ff2d3a4ebad46e9ab7fcf91fc7a57c9,,
Algeria,Province,Tamanghasset,Country_Region_ID,DZA-11,f21cc81f323a443b8bf415f2ea5fb570,,
Algeria,Province,Tebessa,Country_Region_ID,DZA-12,95fa103cbd434243ab764fd9a2572f53,,
Algeria,Province,Tlemcen,Country_Region_ID,DZA-13,caeba3508798489c886e9dae13b16b9c,,
Algeria,Province,Tiaret,Country_Region_ID,DZA-14,706106ba75fe43dbb81901db304d8c6c,,
Algeria,Province,Tizi Ouzou,Country_Region_ID,DZA-15,36c01ef005364ae68aafe1cc72cfacdb,,
Algeria,Province,Algiers,Country_Region_ID,DZA-16,b90e86f29caa4f98aed579751a32c47c,,
Algeria,Province,Djelfa,Country_Region_ID,DZA-17,ee2e2ef1bd4e4128b5697b2884d9be45,,
Algeria,Province,Jijel,Country_Region_ID,DZA-18,72e065ea48dd470f998323e4720b1340,,
Algeria,Province,Setif,Country_Region_ID,DZA-19,932ac3c4721e4407aee35efb0dd58c75,,
Algeria,Province,SaIda,Country_Region_ID,DZA-20,065dacfa368f45d992b2b6624f325bff,,
Algeria,Province,Skikda,Country_Region_ID,DZA-21,e3d24d6d41f74e079a3c58e0f222fddb,,
Algeria,Province,Sidi Bel Abbes,Country_Region_ID,DZA-22,f9e6497176ea407e8729d255b6741c8e,,
Algeria,Province,Annaba,Country_Region_ID,DZA-23,b8df978e9507406ea7d421fbfd847194,,
Algeria,Province,Guelma,Country_Region_ID,DZA-24,40974d81e9fe47a09da15447a68e0061,,
Algeria,Province,Constantine,Country_Region_ID,DZA-25,96478440f682430a9143c5c1c9b86d3d,,
Algeria,Province,Medea,Country_Region_ID,DZA-26,5b7d1ba038a443fa84b20d483f4d1877,,
