Target Sheet,Target Column,Source Column(s),Transformation/Logic,Notes
Customer Name,customer_id,rnk,"'C-' || LPAD(rnk, 6, '0')",Generated sequential ID
Customer Name,customer_name,customer_name,TRIM,Direct mapping
Customer Name,reference_id,customer_number,TRIM,Direct mapping
Customer Name,customer_category,customer_class,"'OTHER' → 'Other Customers', else 'Customers'",Category based on customer class
Customer Name,business_entity_name,customer_name,TRIM,Same as customer_name
Customer Name,external_entity_id,customer_number,TRIM,Direct mapping
Customer Name,preferred_locale,-,NULL,Not populated
Customer Name,preferred_language,-,NULL,Not populated
Customer Name,lockbox,-,NULL,Not populated
Customer Name,customer_security_segment,-,NULL,Not populated
Customer Name,worktag_only,-,NULL,Not populated
Customer Name,submit,inactive,"'NO' → 'Yes', else 'No'",Based on inactive status (inverted)
Customer Name,create_customer_from_financial_institution,-,NULL,Not populated
Customer Name,create_customer_from_supplier,-,NULL,Not populated
Customer Name,create_customer_from_tax_authority,-,NULL,Not populated
Customer Name,create_customer_from_investor,-,NULL,Not populated
Customer Groups,customer_id,customer_id,TRIM,Direct mapping
Customer Groups,customer_name,customer_name,TRIM,Direct mapping
Customer Groups,customer_group,customer_class,TRIM,Direct mapping - Only if customer_class is not blank
Customer Related Worktags,customer_id,customer_id,TRIM,Direct mapping
Customer Related Worktags,customer_name,customer_name,TRIM,Direct mapping
Customer Related Worktags,worktag_type,-,"Constant: 'Sales_Territory'",Hardcoded value
Customer Related Worktags,required_on_transaction,-,NULL,Not populated
Customer Related Worktags,required_on_transaction_for_validation,-,NULL,Not populated
Customer Related Worktags,delete_default_value,-,NULL,Not populated
Customer Related Worktags,worktag_id_type,-,"Constant: 'Sales_Territory_ID'",Hardcoded value
Customer Related Worktags,default_worktag_id_value,sales_territory,TRIM,Direct mapping
Customer Related Worktags,external_supplier_invoice_source,-,NULL,Not populated
Customer Related Worktags,replace_all_allowed_values,-,NULL,Not populated
Customer Related Worktags,delete_allowed_values,-,NULL,Not populated
Customer Related Worktags,allowed_worktag_id_value,sales_territory,TRIM,Direct mapping
Customer Credit,customer_id,customer_id,TRIM,Direct mapping
Customer Credit,customer_name,customer_name,TRIM,Direct mapping
Customer Credit,duns_number,-,NULL,Not populated
Customer Credit,exempt_from_dunning,hold,"'YES' → 'Yes', else 'No'",Based on hold status
Customer Credit,tax_code,tax_schedule_id,TRIM,Direct mapping
Customer Credit,credit_limit_currency,-,"Constant: 'GBP'",Hardcoded value
Customer Credit,credit_limit,"credit_limit_type, credit_limit_amount","'UNLIMITED' → NULL, else credit_limit_amount",Based on credit limit type
Customer Credit,hierarchy_credit_limit,-,NULL,Not populated
Customer Credit,credit_verification_date,created_date,Direct,Date from source
Customer Credit,commercial_credit_score,-,NULL,Not populated
Customer Credit,commercial_credit_score_date,-,NULL,Not populated
