Target Sheet,Target Column,Source Column(s),Transformation/Logic,Notes
Supplier Name,supplier_id,rnk,"'S-' || LPAD(rnk, 6, '0')",Generated sequential ID
Supplier Name,supplier_name,vendor_name,TRIM,Direct mapping
Supplier Name,reference_id,vendor_id,TRIM,Direct mapping
Supplier Name,supplier_category,vendor_class_id,"'IR35' → 'Professional Services', else 'Suppliers'",Category based on vendor class
Supplier Name,business_entity_name,vendor_name,TRIM,Same as supplier_name
Supplier Name,do_not_reimburse_contingent_worker_expense_reports,-,NULL,Not populated
Supplier Name,worktag_only,-,NULL,Not populated
Supplier Name,integration_system,-,"Constant: 'Microsoft Dynamics GP'",Hardcoded value
Supplier Name,external_entity_id,vendor_id,TRIM,Direct mapping
Supplier Name,supplier_source,-,"Constant: 'Legacy Migration'",Hardcoded value
Supplier Name,supplier_change_source,-,"Constant: 'Migration'",Hardcoded value
Supplier Name,submit,vendor_status,"'ACTIVE' → 'Yes', else 'No'",Based on vendor status
Supplier Name,spend_category_or_hierarchy_plus,-,NULL,Not populated
Supplier Name,supplier_security_segment,-,NULL,Not populated
Supplier Name,create_supplier_from_customer,-,NULL,Not populated
Supplier Name,create_supplier_from_financial_institution,-,NULL,Not populated
Supplier Name,create_supplier_from_tax_authority,-,NULL,Not populated
Supplier Name,create_supplier_from_investor,-,NULL,Not populated
Supplier Name,customer_account_number,customer_vendor_id,"NULLIF(TRIM, '')",Only if not blank
Supplier Name,certificate_of_insurance_date,-,NULL,Not populated
Supplier Name,duns_number,-,NULL,Not populated
Supplier Name,unique_entity_identifier,-,NULL,Not populated
Supplier Address,supplier_id,supplier_id,TRIM,Direct mapping
Supplier Address,supplier_name,vendor_name,TRIM,Direct mapping
Supplier Address,formatted_address,-,NULL,Not populated
Supplier Address,address_format_type,-,NULL,Not populated
Supplier Address,defaulted_business_site_address,-,NULL,Not populated
Supplier Address,delete_flag,-,NULL,Not populated
Supplier Address,do_not_replace_all,-,NULL,Not populated
Supplier Address,last_modified,created_date,Direct,Date from source
Supplier Address,descriptor,-,NULL,Not populated
Supplier Address,address_id,"supplier_id, vendor_address_code_primary","supplier_id || '_' || COALESCE(address_code, 'MAIN')",Composite ID
Supplier Address,country,country,TRIM,Direct mapping
Supplier Address,country_code,country_code,TRIM(UPPER),Uppercase
Supplier Address,region,county,TRIM,Mapped from county
Supplier Address,subregion,-,NULL,Not populated
Supplier Address,city,city,TRIM,Direct mapping
Supplier Address,submunicipality,-,NULL,Not populated
Supplier Address,address_line_1,address_1,TRIM,Direct mapping
Supplier Address,address_line_2,address_2,"NULLIF(TRIM, '')",Only if not blank
Supplier Address,address_line_3,address_3,"NULLIF(TRIM, '')",Only if not blank
Supplier Address,address_line_4,addressline_4,"NULLIF(TRIM, '')",Only if not blank
Supplier Address,postal_code,post_code,TRIM(UPPER),Uppercase
